Label,Primary Evidence Indexes,Secondary Evidence Indexes
Entailment,"INTERVENTION 1:    Stage 1 Clinical Management   The group will receive clinical management treatment only each session.   Clinical Management: Clinical management is a clear contrast method of psychological therapy, which is a half-structured interview and lasting for 20-25 minutes each session. Clinical management will be assigned to both experimental group and controlled group in the first stage of intervention.   Following are major elements:   Talk to the subjects to find their main problems; introduce knowledge and medication knowledge about cancer and depression; subjects reporting use of drugs for cancer and depression and a variety of signs and symptoms of the reaction. Encourage patients to adhere to drug treatment and to comply with this research program; The operation of CBT and clinical management should be conducted by the same person as far as possible. INTERVENTION 2:    Stage 1 CBT   The experimental group will receive CBT each session.   CBT and clinical management: The subjects will receive standardized CBT treatment regularly for 9 sessions(once per week in the first month and once half a month in the second and third months), and each session will last for about 60 minutes.The treatment includes three steps:Concept stage (the first and second sessions): establishment of therapeutic relationships with the subjects; Skills acquisition and repeat stage (the third session to the 8th session): clarification of sources of stress, patients' cognitive and behavioral response to stress. Application and complete price segment (the 9th session): return visit to test efficacy of psychological intervention.","INTERVENTION 1:    Neratinib 240, Prior Trastuzumab   Neratinib: 80mg capsules and 40mg coated tablets taken orally in prescribed dose of 240mg daily, as long as tolerated and disease does not worsen in participants with prior trastuzumab treatment. INTERVENTION 2:    Neratinib 240, No Prior Trastuzumab   Neratinib: 80mg capsules and 40mg coated tablets taken orally in prescribed dose of 240mg daily, as long as tolerated and disease does not worsen in participants with no prior trastuzumab treatment."
Contradiction,"Outcome Measurement:    Kaplan-Meier Estimates of Progression-Free Survival (PFS) Based on Investigator Assessment.   PFS was defined as the time from the date of randomization to the date of disease progression or death from any cause on or prior to the data cutoff date for the statistical analysis, whichever occurred earlier. Tumor responses were assessed every 6 weeks using, Response Evaluation Criteria in Solid Tumors (RECIST 1.1) and defined as: Complete response (CR) is the disappearance of all target lesions; Partial response (PR) occurs when at least a 30% decrease in the sum of diameters of target lesions from baseline; Stable disease is neither sufficient shrinkage to qualify for a PR nor sufficient increase of lesions to qualify for Progressive disease (PD); Progressive Disease- is at least a 20% increase in the sum of diameters of target lesions from nadir.   Time frame: From date of randomization to data cut-off date of 16 December 2016; total length of time on study was 31 months for Arm A, 34 months for Arm B and 35 months for Arm C Results 1:    Arm/Group Title: Arm A: Nab-Paclitaxel + Gemcitabine   Arm/Group Description: Participants received nab-Paclitaxel 125 mg/m^2 on Days 1 and 8 by intravenous (IV) administration followed by gemcitabine 1000 mg/m^2 on Days 1 and 8 by IV administration of each 21-day treatment cycle. Participants continued treatment until progressive disease (PD), unacceptable toxicity, required palliative radiotherapy or surgical intervention of lesion(s), withdrawal from study treatment, withdrawal of study consent, participant refusal or the investigator felt it was no longer in the best interest of the participant to continue on treatment   Overall Number of Participants Analyzed: 61   Median (95% Confidence Interval)   Unit of Measure: months  5.5        (4.1 to 7.0) Results 2:    Arm/Group Title: Arm B: Nab-Paclitaxel + Carboplatin   Arm/Group Description: Participants received nab-Paclitaxel 125 mg/m^2 on Days 1 and 8 by IV administration followed by carboplatin area under the curve 2 (AUC 2) on Days 1 and 8 in each 21-day treatment cycle. Participants continued treatment until progressive disease (PD), unacceptable toxicity, required palliative radiotherapy or surgical intervention of lesion(s), withdrawal from study treatment, withdrawal of study consent, participant refusal or the investigator felt it was no longer in the best interest of the participant to continue on treatment.   Overall Number of Participants Analyzed: 64   Median (95% Confidence Interval)   Unit of Measure: months  8.3        (5.7 to 10.6)",nan
Entailment,Adverse Events 1:   Total: 0/161 (0.00%)   Gastrointestinal-Other 0/161 (0.00%)   Dehydration 0/161 (0.00%)   Renal/Genitourinary-Other 0/161 (0.00%) Adverse Events 2:   Total: 1/64 (1.56%)   Gastrointestinal-Other 1/64 (1.56%)   Dehydration 1/64 (1.56%)   Renal/Genitourinary-Other 1/64 (1.56%),Adverse Events 1:   Total: 13/34 (38.24%)   Anemia 3/34 (8.82%)   Diarrhea 7/34 (20.59%)   Nausea 2/34 (5.88%)   Sepsis 1/34 (2.94%)   Urinary tract infection 1/34 (2.94%)   Alkaline phosphatase increased 1/34 (2.94%)   Neutrophil count decreased 2/34 (5.88%)   Dehydration 1/34 (2.94%)   Headache 1/34 (2.94%)   Thromboembolic event 1/34 (2.94%)
Entailment,INTERVENTION 1:    Adjuvant Radiotherapy   Adjuvant radiation was started within 12 weeks of local excision or breast re-excision.   Adjuvant Radiotherapy: Adjuvant radiation therapy,INTERVENTION 1:    Hypnotherapy   Patients randomized to the hypnosis arm of the study will undergo individually three one-hour sessions with a certified hypnotherapist. These sessions will be one week apart. Patients will also be instructed on the use of self-hypnosis techniques to use at home. INTERVENTION 2:    Gabapentin   Patients randomized to the gabapentin arm will be prescribed 900mg of the drug daily (300 mg by mouth three times daily).
Entailment,"Inclusion Criteria:   Pre-treatment haematology and biochemistry values within acceptable local limits: Haemoglobin, white blood cell greater or equal to 3.0 x 109/l or absolute neutrophil count greater or equal to 1.51 x 109/l, Platelets greater or equal to 100 x 109/l, Serum bilirubin less than 1.5 x upper normal limit , Alkaline phosphatase less or equal to 1.5 x upper normal limit , Serum creatinine less than 1.5 x upper normal limit",nan
Entailment,"Outcome Measurement:    Mean Duration of Severe Neutropenia (DSN) During Cycle 1 of Chemotherapy   Mean duration of severe neutropenia, defined as number of consecutive days with ANC <0.5 × 10^9/l (grade 4 neutropenia).   Time frame: 21 days (Cycle 1 of chemotherapy treatment) Results 1:    Arm/Group Title: LA-EP2006   Arm/Group Description: During each chemotherapy cycle eligible patients receive LA-EP2006 s.c. post chemotherapy application.   LA-EP2006: Eligible patients are scheduled to receive six cycles of chemotherapy every three weeks. During each chemotherapy cycle LA-EP2006 is injected s.c. post chemotherapy application.   Overall Number of Participants Analyzed: 155   Mean (Standard Deviation)   Unit of Measure: days  FAS: 151 participants   1.36         (1.133)   PP: 148 participants   1.34         (1.141) Results 2:    Arm/Group Title: Neulasta     Arm/Group Description: During each chemotherapy cycle eligible patients receive Neulasta   s.c. post chemotherapy application.   Neulasta  : Eligible patients are scheduled to receive six cycles of chemotherapy every three weeks. During each chemotherapy cycle pegfilgrastim is injected s.c. post chemotherapy application.   Overall Number of Participants Analyzed: 153   Mean (Standard Deviation)   Unit of Measure: days  FAS: 149 participants   1.19         (0.984)   PP: 144 participants   1.19         (0.991)","Outcome Measurement:    Progression-free Survival (PFS)   Progression is defined using Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.0), as a 20% increase in the sum of the longest diameter of target lesions, or a measurable increase in a non-target lesion, or the appearance of new lesions. Kaplan-Meier survival curves will be used. A 95% confidence interval for the median PFS will be calculated. A lower bound greater than 8 months would be strong evidence that Nab-Paclitaxel- bevacizumab induction therapy followed by bevacizumab-erlotinib hydrochloride maintenance therapy is superior to paclitaxel and bevacizumab. However, a median PFS of 13 months or greater (regardless of whether the 95% confidence interval for the median extends below 8 months) could also indicate promising results.   Time frame: Time from date of registration to date of first documentation of progression or symptomatic deterioration or death due to any cause, assessed up to 8 years Results 1:    Arm/Group Title: Tx (Chemo, MoAb, and Enzyme Inhibitor)   Arm/Group Description: INDUCTION THERAPY: Patients receive paclitaxel albumin-stabilized nanoparticle formulation IV on days 1, 8, and 15 and bevacizumab IV over 30-90 minutes on days 1 and 15. Treatment repeats every 28 days for 6 courses in the absence of disease progression or unacceptable toxicity.   MAINTENANCE THERAPY: Patients achieving complete response, partial response, or stable disease after completion of induction therapy will receive bevacizumab IV over 30-90 minutes once every 14 or 21 days and erlotinib hydrochloride PO QD in the absence of disease progression or unacceptable toxicity.   paclitaxel albumin-stabilized nanoparticle formulation: Given IV   bevacizumab: Given IV   erlotinib hydrochloride: Given PO   Overall Number of Participants Analyzed: 55   Median (95% Confidence Interval)   Unit of Measure: Months  9.1        (7.2 to 11.1)"
Contradiction,"Outcome Measurement:    Central Nervous System (CNS) Progression-free Survival(PFS)   The number of patients that are documented to have progression free survival at 3 months after treatment. Progression free is define as <25% increase in tumor area.   PFS will be measured from the date of entry into the trial to the date of documented progression of brain metastases or death.   Time frame: 3 months after treatment Results 1:    Arm/Group Title: Epothilone B: Group A   Arm/Group Description: Group A: Patients with progressive, radiographically measurable parenchymal brain metastases after whole brain radiation therapy (WBRT). Patupilone will be administered as a single intravenous infusion over 20 minutes, once every 3 weeks. Patupilone will be administered at a dose of 10 mg/m2 (q3weeks) with actual body weight.   Overall Number of Participants Analyzed: 45   Measure Type: Number   Unit of Measure: participants  12 Results 2:    Arm/Group Title: Epothilone B: Group B   Arm/Group Description: Group B: an exploratory cohort of patients, with either leptomeningeal metastases (LMD) or unirradiated, asymptomatic brain metastasis from breast cancer (BCBM).Patupilone will be administered as a single intravenous infusion over 20 minutes, once every 3 weeks. Patupilone will be administered at a dose of 10 mg/m2 (q3weeks) with actual body weight.   Overall Number of Participants Analyzed: 10   Measure Type: Number   Unit of Measure: participants  2",nan
Entailment,"Outcome Measurement:    Progression Free Survival   Progression free survival was based in investigator-determined progressive disease (PD) and calculated from the date of randomization to the date of PD or the date of death, whichever occurred first. Participants who had not progressed and were still alive at the time of clinical cut off were censored at the last disease assessment prior to the clinical cutoff. For PD or death with a missing interval immediately preceding the event, progression-free survival (PFS) was censored at the last disease assessment prior to the missing interval. Participants who withdrew from the study (withdrawal of consent or lost to follow-up) without progression were censored at the time of the last disease assessment.   Time frame: From the date of randomization to the date of disease progression (PD) or death, whichever occurred first (up to 8.4 years) Results 1:    Arm/Group Title: Standard of Care (SOC)   Arm/Group Description: Participants received standard supportive care as packed red blood cells (RBC) transfusion as per Investigator's discretion.   Overall Number of Participants Analyzed: 1048   Median (95% Confidence Interval)   Unit of Measure: Months  7.4        (7.1 to 7.6) Results 2:    Arm/Group Title: Epoetin Alfa   Arm/Group Description: Participants received SOC plus epoetin alfa 40,000 international units (IU) subcutaneously (SC) once a week.   Overall Number of Participants Analyzed: 1050   Median (95% Confidence Interval)   Unit of Measure: Months  7.4        (6.9 to 7.6)",nan
Contradiction,Adverse Events 1:   Total: 58/305 (19.02%)   FEBRILE NEUTROPENIA * 12/305 (3.93%)   NEUTROPENIA * 4/305 (1.31%)   ANAEMIA * 2/305 (0.66%)   LEUKOPENIA * 1/305 (0.33%)   PANCYTOPENIA * 1/305 (0.33%)   THROMBOCYTOPENIA * 1/305 (0.33%)   DISSEMINATED INTRAVASCULAR COAGULATION * 0/305 (0.00%)   ATRIAL FIBRILLATION * 1/305 (0.33%)   DIASTOLIC DYSFUNCTION * 1/305 (0.33%)   PERICARDIAL EFFUSION * 1/305 (0.33%) Adverse Events 2:   Total: 50/304 (16.45%)   FEBRILE NEUTROPENIA * 12/304 (3.95%)   NEUTROPENIA * 1/304 (0.33%)   ANAEMIA * 0/304 (0.00%)   LEUKOPENIA * 0/304 (0.00%)   PANCYTOPENIA * 0/304 (0.00%)   THROMBOCYTOPENIA * 0/304 (0.00%)   DISSEMINATED INTRAVASCULAR COAGULATION * 1/304 (0.33%)   ATRIAL FIBRILLATION * 1/304 (0.33%)   DIASTOLIC DYSFUNCTION * 0/304 (0.00%)   PERICARDIAL EFFUSION * 0/304 (0.00%),Adverse Events 1:   Total: 31/52 (59.62%)   Febrile neutropenia 2/52 (3.85%)   Left ventricular dysfunction 2/52 (3.85%)   Sinus tachycardia 1/52 (1.92%)   Congenital arterial malformation 1/52 (1.92%)   Diarrhoea 5/52 (9.62%)   Salivary hypersecretion 1/52 (1.92%)   Enteritis 1/52 (1.92%)   Abdominal pain 1/52 (1.92%)   Vomiting 1/52 (1.92%)   Stomatitis 1/52 (1.92%)   Haematemesis 1/52 (1.92%)
Entailment,Inclusion Criteria:   Age 18 years or older Exclusion Criteria:   Known chronic liver disease,nan
Entailment,"Eligibility Criteria:   Patients must be women with a histologically confirmed diagnosis of locally advanced or inflammatory breast carcinoma. Histologic confirmation shall be by either core needle biopsy or incisional biopsy. Punch biopsy is allowed if invasive breast cancer is documented.   Patients must meet one of the criteria defined below (indicate one):   a .Selected Stage IIB (T3, N0, M0) or IIIA (T3, N1-2, M0) disease judged primarily unresectable by an experienced breast surgeon; or otherwise deemed appropriate candidates for neoadjuvant treatment.   b. Stage IIIB (T4, Any N, M0) or (Any T, N3, M0) disease.   Physical examination, chest x-ray and any x-rays or scans needed for tumor assessment must be performed within 90 days prior to registration.   Patients with the clinical diagnosis of congestive heart failure or angina pectoris are NOT eligible. Patients with hypertension or age > 60 years must have a Multiple Gated Acquisition (MUGA) or echocardiogram scan performed within 90 days prior to registration (indicate not applicable (NA) if no MUGA required) and Left Ventricular Ejection Fraction (LVEF) % must be greater than the institutional lower limit of normal.   Patients must have a serum creatinine and bilirubin  the institutional upper limit of normal, and an Serum glutamic oxaloacetic transaminase (SGOT) or Serum glutamic pyruvic transaminase (SGPT)  2x the institutional upper limit of normal. These tests must have been performed within 90 days prior to registration.   Patients must have an Absolute neutrophil count (ANC) of  1,500/μl and a platelet count of  100,000/μl. These tests must have been performed within 90 days prior to registration.   Patients must have a performance status of 0-2 by Zubrod criteria   Pregnant or nursing women may not participate due to the possibility of fetal harm or of harm to nursing infants from this treatment regimen. Women of reproductive potential may not participate unless they have agreed to use an effective contraceptive method. A urine pregnancy test is required for women of childbearing potential.   All patients must be informed of the investigational nature of this study and must sign and give written informed consent in accordance with institutional and federal guidelines.",Inclusion Criteria:   Patients with a diagnosis of invasive adenocarcinoma of the breast confirmed by histology or cytology at MSKCC.   Clinical evidence of metastatic breast cancer.   HER2 overexpression and/or amplification as determined by immunohistochemistry (3+) or FISH (  2.0).   Progressive disease following treatment with trastuzumab for metastatic breast cancer or as adjuvant therapy (either single-agent or combination therapy)   Prior therapy inclusion:   No more than two prior chemotherapy regimens allowed for advanced stage disease   No prior fluoropyrimidine in the metastatic setting. Adjuvant fluoropyrimidine is permitted if >6 months prior to treatment on study.   No restriction for prior hormonal therapy. No concurrent use of endocrine therapy is permitted.   No more than 450mg/m2 cumulative dose of prior doxorubicin   At least 3 weeks since prior chemotherapy or radiation therapy   Age  or 
Entailment,"  No contraindication to spine dual energy x-ray absorptiometry (DXA) as defined by any of the following:   History of surgery at the lumbosacral spine, with or without implantable devices   Scoliosis with a Cobb angle > 15 degrees at the lumbar spine",nan
Entailment,Inclusion Criteria:   baseline left ventricular ejection fraction (LVEF) >/=55%,nan
Contradiction,"Adverse Events 1:   Total: 5/14 (35.71%)   Ileus 1/14 (7.14%)   General disorders and administration site conditions - Other, disease progression 2/14 (14.29%)   Infections and infestations - Other, pneumonia 1/14 (7.14%)   Acute kidney injury 1/14 (7.14%)",Adverse Events 1:   Total: 3/9 (33.33%)   Fatigue * 1/9 (11.11%)   Non-cardiac chest pain * 1/9 (11.11%)   Sepsis * 1/9 (11.11%)   Urinary tract infection * 1/9 (11.11%)   Syncope * 1/9 (11.11%)   Anxiety * 1/9 (11.11%)   Thromboembolic event * 1/9 (11.11%)
Contradiction,"Outcome Measurement:    Progression-Free Survival (PFS)   Time from date of randomization to the date of the first documentation of objective tumor progression or death due to any cause, whichever occurred first. PFS ",nan
Contradiction,"INTERVENTION 1:    Cholecalciferol   Enrolled women received 50,000 IUs weekly supplementation of cholecalciferol for 8 weeks. INTERVENTION 2:    No Cholecalciferol   Enrolled women with serum 25 (OH)D greater than or equal to 30 ng/ml received no intervention.",nan
Contradiction,Adverse Events 1:   Total: 11/56 (19.64%)   Febrile Neutropenia * 3/56 (5.36%)   Neutropenia * 1/56 (1.79%)   Pancytopenia * 1/56 (1.79%)   Atrial Fibrillation * 1/56 (1.79%)   Coronary Artery Disease * 1/56 (1.79%)   Constipation * 1/56 (1.79%)   Chest Pain * 1/56 (1.79%)   Non-Cardiac Chest Pain * 1/56 (1.79%)   Edema due to Cardiac Disease * 1/56 (1.79%)   Cellulitis * 1/56 (1.79%),nan
Entailment,INTERVENTION 1:    Arm I (Minocycline Hydrochloride)   Patients receive minocycline hydrochloride PO BID on days 1-7. Treatment repeats every 7 days for up to 12 courses in the absence of disease progression or unacceptable toxicity. INTERVENTION 2:    Arm II (Placebo)   Patients receive a placebo PO BID on days 1-7. Treatment repeats every 7 days for up to 12 courses in the absence of disease progression or unacceptable toxicity.,"INTERVENTION 1:    SCPR Intervention   Young breast cancer participants will receive their SCPR and access to additional web-based educational reproductive health information, including resource lists of helpful websites, followed by regular reproductive health prompts and study adherence reminders for 24 weeks.   Reproductive Health Survivorship Care Plan (SCPR): The reproductive health survivorship care plan (SCPR) is a web-based educational tool that will include information on how to manage various reproductive health issues such as hot flashes, fertility concerns, contraception practices, and sexual function. The intervention also includes additional web-based information and resource lists, text-based reproductive health and study adherence INTERVENTION 2:    Control   Young breast cancer participants randomized to the waitlist control arm will receive access to the web-based resources and study adherence reminders. At completion of the 24 weeks of follow up, they will have access to their SCPR.   Control: Web-based resource lists and text-based study adherence reminders"
Contradiction,"INTERVENTION 1:    Arm 1: CsA   Fludarabine: Administered intravenously, 25 mg/m^2, days -6 through -2 (5 days).   Cyclophosphamide: Administered intravenously, 60 mg/kg, days -5 and -4. Cyclosporine (CsA): Administered intravenously, 1.5 mg/kg for target dose range of 150-250 ng/mL day -3 through day +14   Natural Killer cells: Administered by infusion over less than 1 hour; no more than 8.0 x 10^7 cells/kg will be given.   Interleukin- 2 (IL-2): Given subcutaneously at 9 million units 3 times a week for a total of 6 doses, beginning 4 hours after NK cell infusion. (For patients weighing less than 45 kilograms, IL-2 will be given at 5 million units/m^2 3 times per week for 6 doses).",nan
Entailment,Inclusion Criteria:   Adequate bone marrow function   Adequate liver function and serum transaminases   Adequate renal function,nan
Contradiction,"Inclusion Criteria:   Estrogen receptor (ER), PgR and HER2 expression have been determined",Inclusion Criteria:   Known estrogen receptor (ER) and progesterone receptor (PR) hormone receptor status at study entry
Contradiction,"Outcome Measurement:    Clinical Benefit Defined as Complete Response (CR), Partial Response (PR) or Stable Disease (SD) Lasting >",nan
Entailment,INTERVENTION 1:    Samarium 153-EDTMP + Stem Cell Transplant   Samarium 153-EDTMP tracer dose ,"INTERVENTION 1:    Exemestane   Participants diagnosed with breast cancer who remained disease-free after previously receiving 2 to 3 years of tamoxifen 20 milligram (mg) or 30 mg tablet-in-capsule orally once daily as per standard medical practice, received exemestane (Aromasin) 25 mg tablet-in-capsule orally once daily for the remainder of 5-year period. INTERVENTION 2:    Tamoxifen   Participants diagnosed with breast cancer who remained disease-free after previously receiving 2 to 3 years of tamoxifen 20 mg or 30 mg tablet-in-capsule orally once daily as per standard medical practice, received the same dose of tamoxifen tablet-in-capsule orally once daily for the remainder of 5-year period."
Entailment,"Exclusion Criteria:   Psychological, familial, sociological, or geographical conditions that do not permit compliance with the protocol.",nan
Entailment,Exclusion Criteria:   Impairment of gastrointestinal (GI) function or GI disease or active ulceration of the upper gastrointestinal tract.,nan
Entailment,Adverse Events 1:   Syncope 1/42 (2.38%),nan
Entailment,Adverse Events 1:   febrile neutropenia * 3/15 (20.00%) Adverse Events 2:   febrile neutropenia * 2/14 (14.29%),nan
Entailment,Adverse Events 1:   Anaemia 3/396 (0.76%) Adverse Events 2:   Anaemia 3/408 (0.74%),nan
Entailment,Exclusion Criteria   Patients with known and active brain and/or leptomeningeal metastases should be excluded from this clinical trial because of their poor prognosis and because they often develop progressive neurologic dysfunction that would confound the evaluation of neurologic and other adverse events.,Inclusion Criteria   Ability to understand and the willingness to sign a written informed consent document.
Contradiction,Inclusion Criteria:   Heart Rate > 60 bpm,nan
Entailment,Adverse Events 1:   Neutropenia  4/41 (9.76%) Adverse Events 2:   Neutropenia  4/40 (10.00%),nan
Contradiction,Adverse Events 1:   Total: 3/22 (13.64%)   ascites with hyponatraemia 0/22 (0.00%)   febrile neutropenia with respiratory infection 1/22 (4.55%)   urosepsis 1/22 (4.55%)   febrile neutropenia with urinary tract infection 0/22 (0.00%)   dyspnoea 1/22 (4.55%)   hypoxia 0/22 (0.00%)   thromboembolism 0/22 (0.00%) Adverse Events 2:   Total: 4/17 (23.53%)   ascites with hyponatraemia 1/17 (5.88%)   febrile neutropenia with respiratory infection 0/17 (0.00%)   urosepsis 0/17 (0.00%)   febrile neutropenia with urinary tract infection 1/17 (5.88%)   dyspnoea 0/17 (0.00%)   hypoxia 1/17 (5.88%)   thromboembolism 1/17 (5.88%),Adverse Events 1:   Total: 9/46 (19.57%)   Febrile neutropenia 1/46 (2.17%)   Cardiac disorder 1/46 (2.17%)   Diarrhea 1/46 (2.17%)   Upper gastrointestinal hemorrhage 1/46 (2.17%)   Chest pain 1/46 (2.17%)   Fatigue 1/46 (2.17%)   Neutrophil count decreased 2/46 (4.35%)   Platelet count decreased 1/46 (2.17%)   Anorexia 1/46 (2.17%)   Dehydration 1/46 (2.17%)   Serum potassium increased 1/46 (2.17%)
Contradiction,Adverse Events 1:   Confusion 1/33 (3.03%),Adverse Events 1:   Confusion 1/11 (9.09%) Adverse Events 2:   Confusion 0/12 (0.00%)
Contradiction,Adverse Events 1:   Total: 5/11 (45.45%)   Nausea 1/11 (9.09%)   Vomiting 1/11 (9.09%)   Fever 1/11 (9.09%)   skin infection  [1]1/11 (9.09%)   Hip fracture 0/11 (0.00%)   Confusion 1/11 (9.09%) Adverse Events 2:   Total: 1/12 (8.33%)   Nausea 0/12 (0.00%)   Vomiting 0/12 (0.00%)   Fever 0/12 (0.00%)   skin infection  [1]0/12 (0.00%)   Hip fracture 1/12 (8.33%)   Confusion 0/12 (0.00%),nan
Entailment,Adverse Events 1:   Total: 22/96 (22.92%)   Anemia  1/96 (1.04%)   Febrile neutropenia  4/96 (4.17%)   Heart failure  1/96 (1.04%)   Abdominal pain  1/96 (1.04%)   Dysphagia  1/96 (1.04%)   Mucositis oral  1/96 (1.04%)   Nausea  1/96 (1.04%)   Vomiting  2/96 (2.08%)   Death NOS  0/96 (0.00%)   Pain  1/96 (1.04%)   Catheter related infection  1/96 (1.04%)   Enterocolitis infectious  0/96 (0.00%),nan
Entailment,"Outcome Measurement:    Objective Response Rate (ORR)   The ORR was defined as the percentage of participants with best overall response (BOR) of confirmed complete response (CR) or partial response (PR), based on Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1. Targeted lesions were assessed by computed tomography (CT) and magnetic resonance imaging (MRI) which were then assessed by the investigator based on RECIST. CR was defined as the disappearance of all target lesions. PR was defined as at least 30% decrease in the sum of diameters of target lesions, taking as reference baseline sum diameters. Possible CR and PR had to be confirmed no fewer than 4 weeks after the initial response assessment. A brain and bone scan was performed by CT/MRI within 1 week after confirmation of a response to ensure no new metastases. To be assigned a status of CR or PR, changes in tumor measurements had to be confirmed by repeat evaluations, to be performed not fewer than 4 weeks after the response criteria were first met. ORR ",nan
Entailment,Exclusion Criteria:   Pre-existing grade >=2 motor or sensorial neurotoxicity by the National Cancer Institute Common Toxicity Criteria (NCICTC) v-2.0.,"  Laboratory evidence of autoimmune disease (e.g., positive ANA titer) without symptoms"
Entailment,"INTERVENTION 1:    Physician's Choice   Physician selection from 4 standard of care metastatic breast cancer chemotherapies (eribulin or vinorelbine or gemcitabine or capecitabine), until progression or unacceptable toxicity develops. INTERVENTION 2:    Niraparib   Niraparib 300 mg (3x100 mg capsules) once daily until progression or unacceptable toxicity develops",nan
